"HCPCS","DESCRIPTION"
"0001F","Heart failure composite"
"0005F","Osteoarthritis composite"
"00100","Anesthesia for procedure on salivary gland, including biopsy"
"00102","Anesthesia for plastic repair of cleft lip"
"00103","Anesthesia for reconstructive procedure of eyelid"
"00104","Anesthesia for electroconvulsive therapy"
"00120","Anesthesia for procedure on ear, with biopsy, not otherwise specified"
"00124","Anesthesia for procedure on ear, otoscopy"
"00126","Anesthesia for procedure on ear, tympanotomy"
"0012F","Community-acquired pneumonia bacterial assessment"
"00140","Anesthesia for procedures on eye, not otherwise specified"
"00142","Anesthesia for procedure on eye, lens surgery"
"00144","Anesthesia for procedure on eye, corneal transplant"
"00145","Anesthesia for procedure on eye, vitreoretinal surgery"
"00147","Anesthesia for procedure on eye, iridectomy"
"00148","Anesthesia for procedure on eye, ophthalmoscopy"
"0014F","Comprehensive preoperative assessment for cataract surgery"
"0015F","Melanoma follow-up, complete"
"00160","Anesthesia for procedure on nose and sinus, not otherwise specified"
"00162","Anesthesia for procedure on nose and sinus, radical surgery"
"00164","Anesthesia for procedure on nose and sinus, biopsy of soft tissue"
"00170","Anesthesia for intraoral procedure, not otherwise specified"
"00172","Anesthesia for intraoral procedure, repair of cleft palate"
"00174","Anesthesia for intraoral excision of retropharyngeal tumor"
"00176","Anesthesia for intraoral procedure, radical surgery"
"00190","Anesthesia for procedure on facial bones and skull, not otherwise specified"
"00192","Anesthesia for procedure on facial bones and skull, radical surgery"
"00210","Anesthesia for intracranial procedure, not otherwise specified"
"00211","Anesthesia for intracranial procedure, craniectomy or craniotomy for hematoma"
"00212","Anesthesia for intracranial procedure, subdural taps"
"00214","Anesthesia for intracranial procedure, burr holes"
"00215","Anesthesia for intracranial procedure, cranioplasty or elevation of skull fracture"
"00216","Anesthesia for intracranial procedure, vascular procedure"
"00218","Anesthesia for intracranial procedure in sitting position"
"00220","Anesthesia for intracranial procedure, cerebrospinal fluid shunting procedure"
"00222","Anesthesia for intracranial procedure, electrocoagulation of intracranial nerve"
"00300","Anesthesia for all procedures on integumentary system of head, neck, and posterior trunk"
"00320","Anesthesia for all procedures on neck, not otherwise specified, patient age 1 year or older"
"00322","Anesthesia for all procedures on neck, needle biopsy of thyroid"
"00326","Anesthesia for all procedures on larynx and trachea, patient under 1 year of age"
"00350","Anesthesia for procedure on major vessel of neck, not otherwise specified"
